  COD;Artista;Título;OBS:;Gravadora;Formato;Condição;Valor Venda;gênero;ano;texto;tracklist;Imagens
70;Secos e molhados;Gravado ao vivo no Maracanazinho;;Continental;LP;VG/VG;120;Brasil;1974;Disco ao vivo da banda, contém vários dos sucessos dois dois primeiros albuns. Uma das bandas mais criativas da primeira metade dos anos 70!;"A1 Andorinhas
A2 Rosa de hiroshima
A3 Mulher barriguda
A4 Primavera nos dentes
A5 El rey
B1 Toada & rock & mambo & tango etc
B2 Fala
B3 Assim assado
B4 O vira";70.jpg
71;Sergio Ricardo;Trilha sonora do filme A noite do espantalho;;Phonodics;LP;VG/VG;70;Brasil;1978;"Bonita trilha!!! Destaque pra ""Meu nome é Zé do Cão"", porreta!";"A1 Canção do espantalho
A2 História que se conta
A3 Meu nome é Zé do Cão
A4 Pena e o penar
A5 Tulão de estrelas
A6 Pé na estrada
B1 Noite de Maria
B2 Mutirão
B3 Festa do mutirão
B4 Briga de faca
B5 Martelo a bala e facão
B6 Macauã";71.jpg
72;Sexteto de jazz moderno;Bossa Nova;;RCA Victor;LP;VG+/VG+;300;Brasil;1963;"Raridade! Disco em ótimo estado, apenas um escrito na capa. Ouça ""Samba toff"".";"A1 Samba de uma nota só
A2 Barquinho
A3 Samba toff
B1 Desafinado
B2 Menina feia
B3 Lamento";72.jpg
73;Tania Maria;Via Brasil;;Barclay;LP;VG+/VG+;150;Brazuca;1975;"Ótimo disco da grande pianista e cantora Tania Maria e ótimo exemplar também, perfeito estado! Ouça ""Fio Maravilha"".";"A1 Samba de orly
A2 Pout pourri de Jorge Ben
A3 Até quem sabe
A4 Abre alas
A5 Fio maravilha
B1 A cruz
B2 Águas de março
B3 Bedeu
B4 Não tem perdão
B5 Pot-pourri via brasil";73.jpg
74;Tribo Massahi;Tribo Massahi;;Goma Gringa;LP;MINT;90;Brazuca;197?;"Um dos discos mais procurados por colecionadores do mundo inteiro foi relançado pelo selo Goma Gringa! Vem com um encarte contando toda a história desse obscuro grupo! Check ""Pai João"", recentemente relançando por Seu Jorge com a banda Almaz!";"A1 Walk by jungle
A2 Fareuá
A3 Harmatan
A4 Dandara
B1 Pae João
B2 Menina da janela
B3 Oan
B4 Madrugada sem luar";74.jpg
75;Ully Costa;Quem sou eu;;independente;LP;MINT;;Brazuca;2012;"Primeiro disco solo da ótima cantora paulistana, vocalista do grupo Sandália de Prata! Afrobrazuca, MPB e R&B, sem perder a qualidade! Check ""A querer"" e o highlife ""Marinheiro/ Irará Édun"".";"A1 A querer
A2 Festa do Rei Nagô
A3 Capoeira de Oxalá
A4 O ponto
A5 Olhos dagua
B1 Veja meu lado
B2 Marinheiro/ Irora Edun/
B3 Pindorama 
B4 Quem sou eu";75.jpg
76;Vanusa;Vanusa;;RCA;LP;VG/VG;120;Brazuca;1969;"O melhor disco de Vanusa!! Forte e psicodélico, groovy! Ouça o dancefloor hit ""Hey Joe"" e  ""Atmico platônico""!";"A1 Meu depoimento
A2 O que você está fazendo nesse lugar tão frio
A3 O que é meu é teu
A4 Teu regresso
A5 Espere
A6 Hei sol
B1 Atômico platônico
B2 Sunny
B3 eu sei viver sozinha
B4 Hey Joe
B5 E você não diz nada
B6 Caminhemos";76.jpg
77;Victor Assis Brasil;Victor Assis brasil toca Antonio Carlos Jobim;;Continental;LP;VG+/VG+;40;Brasil;1981;"Disco originalmente de 1975, onde um mestre paga tributo a outro! Ouça ""Dindi""!";"A1 Só tinha de ser com você
A2 Wave
B1 Bonita
B2 Dindi";77.jpg
78;Vital Farias;Vital Farias;;Polydor;LP;VG+/VG+;50;Brasil;1978;"Primeiro disco do paraibano, mais conhecido pela sua participação no show ""Cantoria"", com Elomar, Xangai e Geraldo Azevedo. Ouça ""Ê mãe"".";"A1 Canção em dois tempos
A2 O sobreassalto
A3 Bate com o pé xaxado
A4 Bandeira desfraldada
A5 Via crucis da mulher brasileira
A6 Alice no curral das maravilhas
B1 Deixe de afobação
B2 Expediente interno
B3 Poema verdade
B4 Caso você case
B5 Ê mãe
B6 Estudo n 22";78.jpg
79;Conjunto folclórico da Bahia;Viva a Bahia!;;Philips;LP;VG+/VG+;150;Brasil;1968;"Ótima compilação de temas folclóricos, gravado ao vivo no teatro Castro Alves de Salvador. Ouça ""Maculele"". O primeiro tema dessa faixa foi cantado também por Walter Queiroz no seu ótimo ""Filho do Povo"".";"A1 Maculele
B1 Puxada da rede do xaréu";79.jpg
80;Wanderlea;Feito gente;;Polydor;LP;VG+/VG;100;Brazuca;1975;"Lenha!! Wanderlea em um show dirigido pela grande Rosinha de Valença e uma banda infernal! Check ""Que besteira"" e ""Ginga de mandinga""";"A1 Eu nem ligo
A2 Que besteira
A3 Carne, osso e coração
A4 Ginga de mandinga
A5 Conversa mole
A6 Lua
B1 Que falem de mim 
B2 Palavras
B3 Poeira e solidão
B4 Verdes varandas
B5 Segredo
B6 Feito gente";80.jpg
81;Wando ;Gosto de maça;;Copacabana;LP;VG+/VG+;50;Brazuca;1978;"Wando no seu melhor, misturando com ritmos regionais e afrobrazucas! Ouça ""Se quiser chorar por mim"" e ""Morenô"".";"A1 Se quiser chorar por mim
A2 Quarta feira 
A3 Oi, Noé
A4 Morenô
A5 Anoiteceu
A6 Para uma pequena chamada Gabi
B1 Gosto de maça
B2 Emoções
B3 Nos olhos perdidos da noite
B4 Razões e atitudes
B5 São Paulo e essa gente tão só
B6 Gandaia";81.jpg
82;Wilson Simonal;Vou deixar cair...;;Odeon ;LP;VG+/VG;50;Brazuca;1966;"Primeiro LP de Simonal com seu melhor acompanhamento, o conjunto Som 3 de Cesar Camargo Mariano, Sabá e Toninho Pinheiro! Ouça ""Mamãe passou açúcar em mim"" e ""Sem você eu não vivo"".";"A1 Vento de maio
A2 Meu limão, meu limoeiro
A3 Carango
A4 Minha namorada
A5 Sem você eu não vivo
A6 Enxugue os olhos
B1 Maria
B2 A formiga e o elefante
B3 Mamãe passou açúcar em mim
B4 Franqueza
B5 Tem dó
B6 Samba do Mug";82.jpg
83;Zelia Barbosa;Brazil: Songs of protest;;Kindred Spirits;LP;MINT;90;Brasil;1968;"Relançamento do ótimo disco brasileiro pelos holandeses da Kindred Spirits! Check ""Pau de arara"" e ""Nega Dina"".";"A1 Opinião
A2 Funeral do lavrador
A3 Pedro pedreiro
A4 Sina de caboclo
A5 Chegança 
A6 Pau de arara
B1 Carcara
B2 Canção da terra
B3 Zelão
B4 Feio, não é bonito
B5 Cicatriz
B6 Nega Dina";83.jpg
84;Zulumbi;Zulumbi;;Somatória do barulho;LP;MINT;;Brazuca;2014;"Disco de estreia do trio do Zulumbi (formado pelo guitarrista da Nação Zumbi Lúcio Maia, o MC Rodrigo Brandão e o Dj PG)! Ouça ""Zulumbi""!";"A1 Zulumbi
A2 Cosmos conspira
A3 Todo mundo tem
A4 Wah-wah
A5 Bumaye
B1 Mensagem da tribo 
B2 Essa é pra você
B3 Sob o signo do insano 
B4 Babe vou bombar
B5 Terra deu, terra come";84.jpg
